id,name,categ_id,type,uom_id,uom_po_id,default_code,barcode,list_price,taxes_id,supplier_taxes_id,seller_ids/name/id,seller_ids/price
nexterp_demo_product_1,Agrafe Par Mari,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_4215,30227125,2.50,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_177,1.63
nexterp_demo_product_2,Agrafe Par Mici,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_4057,20131548,2.50,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_168,1.88
nexterp_demo_product_3,Ata Neagra + Colorata,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_4424,2312505034427,2.00,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_61,1.4
nexterp_demo_product_4,Banda Muste Chemis,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_4720,8594021250268,1.00,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_461,0.75
nexterp_demo_product_5,Baterie R6 Toshiba,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_3925,43297013339,1.00,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_552,0.65
nexterp_demo_product_6,Baterii Duracell Aa Lr6,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_4619,5000394115514,5.46,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_417,3.55
nexterp_demo_product_7,Baterii Duracell Aaa Lr03 2Buc/Set,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_4620,5000394115545,5.50,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_378,3.3
nexterp_demo_product_8,Baterii Toshiba R6,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_6381,4904530591419,1.00,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_310,0.7
nexterp_demo_product_9,Bec Emeg 100W,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_5312,6925999700035,1.00,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_19,0.75
nexterp_demo_product_10,Bec Lanterna,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_3954,2000000753300,0.98,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_190,0.69
nexterp_demo_product_11,Bec Refco 100W,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_5311,5949029900753,1.00,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_382,0.75
nexterp_demo_product_12,Bete Frigarui 15Cm 100Buc/Set,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_346768,6959013600049,3.00,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_180,2.25
nexterp_demo_product_13,Bete Frigarui 25Cm 50Buc/Set,Accesorii,product,uom.product_uom_unit,uom.product_uom_unit,ST_2,1286700001564,3.00,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_188,2.1
