id,name,parent_id,is_company,vat,street,city,zip,state_id,country_id,email,phone,l10n_ro_vat_subjected,customer_rank,supplier_rank
nexterp_demo_partner_1,Aanei Stancu SPI,,1,RO7323927491,Intrarea Nistor Nr. 73,Motru,236885,base.RO_BV,base.ro,stanachim@post.ro,0246 747 933,0,0,0
nexterp_demo_partner_2,Brândușa Cristea,nexterp_demo_partner_1,0,,Soseaua Achim Dumitrescu,Bals,842537,base.RO_AB,base.ro,renatapop@post.ro,,0,0,0
nexterp_demo_partner_3,Fiona Dobre,nexterp_demo_partner_1,0,,Strada Casiana Ababei Nr. 31 Bl. 82  Sc. 37 Ap. 826,Arad,660870,base.RO_CV,base.ro,odinu@zzup.ro,,0,0,0
nexterp_demo_partner_4,Georgeta Cristea,nexterp_demo_partner_1,0,,Aleea Dumitrescu Nr. 74,Balan,975173,base.RO_BV,base.ro,dimateona@email.ro,,0,0,0
nexterp_demo_partner_5,Aanei Tudor PFA,,1,7550098723,Soseaua Decebal Stănescu Nr. 221 Bl. 60  Sc. 25 Ap. 937,Otelu Rosu,829745,base.RO_CT,base.ro,jdochioiu@141.ro,0233 283 882,1,1,0
nexterp_demo_partner_6,Cosmina Pușcașu,nexterp_demo_partner_5,0,,Drumul Julieta Gheorghiu,Targoviste,310596,base.RO_MM,base.ro,fnistor@141.ro,,0,0,0
nexterp_demo_partner_7,Iulia Ene,nexterp_demo_partner_5,0,,Intrarea Severin Tomescu Nr. 169 Bl. 86  Sc. 40 Ap. 354,Cisnadie,968804,base.RO_IS,base.ro,tomaharalamb@kappa.ro,,0,0,0
nexterp_demo_partner_8,Lucrețiu Cristea,nexterp_demo_partner_5,0,,Soseaua Decebal Stănescu Nr. 221 Bl. 60  Sc. 25 Ap. 937,Otelu Rosu,829745,base.RO_CT,base.ro,ababeimanole@kappa.ro,,0,0,0
nexterp_demo_partner_9,Frederic Ababei,,0,,Bulevardul Ariana Suciu,Buhusi,689708,base.RO_VN,base.ro,ztabacu@gmail.com,,0,0,0
nexterp_demo_partner_10,Heracleea Oprea,,0,,Intrarea Nicodim Albu,Modelu,269215,base.RO_VN,base.ro,egeorgescu@kappa.ro,,0,0,0
nexterp_demo_partner_11,Ivan Cristea,,0,,Soseaua Aanei Nr. 104,Jibou,149456,base.RO_BV,base.ro,giorgiandima@acasa.ro,,0,0,0
nexterp_demo_partner_12,Ackermann,,1,DE824699311,Weihmannstr. 16,Düren,2034,,base.de,florianpreiss@pergande.org,9148520582,0,1,1
nexterp_demo_partner_13,Albu Popescu SA,,1,1530620161,Strada Cristea,Zimnicea,998139,base.RO_B,base.ro,gtoma@gmail.com,0236 109 986,0,1,0
